beacontest1,beacontest2,beacontest3,beacontest4,beacontest5,beacontest6,beacontest7,beacontest8,beacontest9,beacontest10,beacontest11,beacontest12,beacontest13,beacontest14,beacontest15,beaocontest16,beaocontest17,beaocontest18,target
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-61,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-50,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-61,-54,-60,-50,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-50,1
-72,-63,-68,-74,-68,-63,-62,-63,-53,-68,-71,-95,-67,-69,-62,-54,-60,-49,1
-72,-63,-68,-75,-69,-63,-61,-62,-53,-67,-71,-95,-67,-69,-58,-54,-60,-49,1
-72,-63,-70,-75,-68,-63,-61,-63,-54,-68,-71,-95,-68,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-50,1
-72,-63,-69,-74,-68,-63,-61,-63,-53,-68,-71,-95,-68,-69,-59,-54,-60,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-60,-49,1
-72,-63,-69,-74,-69,-63,-61,-63,-53,-68,-71,-95,-68,-69,-62,-55,-60,-50,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-60,-50,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-60,-48,1
-95,-95,-95,-95,-67,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,51
-95,-95,-95,-95,-67,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-82,-95,-95,51
-95,-64,-95,-95,-67,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-82,-95,-95,51
-95,-64,-95,-95,-67,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-82,-80,-95,51
-95,-64,-95,-95,-67,-95,-95,-95,-95,-95,-50,-95,-95,-95,-95,-82,-80,-95,51
-95,-64,-95,-95,-67,-64,-95,-95,-95,-95,-50,-95,-95,-95,-95,-82,-80,-95,51
-58,-64,-95,-95,-67,-64,-95,-95,-95,-95,-50,-95,-95,-95,-95,-82,-80,-95,51
-58,-64,-95,-95,-67,-64,-95,-95,-95,-95,-50,-95,-95,-73,-95,-82,-80,-95,51
-58,-64,-95,-95,-67,-64,-95,-95,-95,-53,-50,-95,-95,-73,-95,-82,-80,-95,51
-58,-64,-95,-95,-67,-64,-95,-95,-95,-53,-50,-95,-68,-73,-95,-82,-80,-95,51
-58,-64,-95,-95,-67,-64,-95,-95,-95,-53,-50,-95,-68,-73,-71,-82,-80,-95,51
-58,-64,-95,-68,-67,-64,-95,-95,-95,-53,-50,-95,-68,-73,-71,-82,-80,-95,51
-58,-64,-95,-68,-67,-64,-72,-95,-95,-53,-50,-95,-68,-73,-71,-82,-80,-95,51
-58,-64,-95,-68,-67,-64,-72,-95,-95,-53,-50,-54,-68,-73,-71,-82,-80,-95,51
-58,-64,-95,-68,-67,-64,-72,-95,-82,-53,-50,-54,-68,-73,-71,-82,-80,-95,51
-58,-64,-59,-68,-67,-64,-72,-95,-82,-53,-50,-54,-68,-73,-71,-82,-80,-95,51
-58,-64,-59,-68,-67,-64,-72,-95,-82,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
-58,-64,-59,-68,-67,-64,-72,-95,-82,-53,-50,-54,-68,-73,-71,-82,-80,-70,51
